item,gunung,tinggi,vsi,regionalLabel,koordinat
http://www.wikidata.org/entity/Q537391,Gunung Kembar,2245,261810,,Point(97.664 3.85)
http://www.wikidata.org/entity/Q548489,Gunung Ijen,2769,263350,,Point(113.989166666 -8.3125)
http://www.wikidata.org/entity/Q587915,Gunung Kie Besi,1357,268070,,Point(127.366666666 0.333333333)
http://www.wikidata.org/entity/Q598893,Gunung Merbabu,3142,263240,,Point(110.44 -7.455)
http://www.wikidata.org/entity/Q669559,Gunung Salak,2211,263050,,Point(106.733611111 -6.715833333)
http://www.wikidata.org/entity/Q670643,Gunung Malabar,2343,263081,,Point(107.65 -7.13)
http://www.wikidata.org/entity/Q675072,Gunung Kendang,2608,263110,,Point(107.72 -7.23)
http://www.wikidata.org/entity/Q807010,Banua Wuhu,-5,267030,,Point(125.490555555 3.137777777)
http://www.wikidata.org/entity/Q811048,Gunung Batutara,748,264260,,Point(123.579166666 -7.791666666)
http://www.wikidata.org/entity/Q815632,Gunung Belirang-Beriti,1958,261200,,Point(102.183333333 -2.816666666)
http://www.wikidata.org/entity/Q847323,Rinjani,3726,264030,,Point(116.466666666 -8.416666666)
http://www.wikidata.org/entity/Q911748,Gunung Galunggung,2168,263140,,Point(108.0770588 -7.2567315)
http://www.wikidata.org/entity/Q956331,Gunung Wilis,2563,263270,,Point(111.758 -7.808)
http://www.wikidata.org/entity/Q1048813,Weh,617,261800,,Point(95.28 5.82)
http://www.wikidata.org/entity/Q1053413,Gunung Karangetang,1784,267020,,Point(125.4075 2.777777777)
http://www.wikidata.org/entity/Q1083948,Gunung Serua,641,265070,,Point(130.0 -6.3)
http://www.wikidata.org/entity/Q1087355,Gunung Sibualbuali,1819,261110,,Point(99.255 1.556)
http://www.wikidata.org/entity/Q1110232,Colo,507,266010,,Point(121.608 -0.17)
http://www.wikidata.org/entity/Q1186618,Gunung Dempo,3173,261230,,Point(103.13 -4.03)
http://www.wikidata.org/entity/Q1190569,Gunung Tangkuban Perahu,2084,263090,,Point(107.6 -6.77)
http://www.wikidata.org/entity/Q1322666,Gunung Sirung,862,264270,,Point(124.133333333 -8.516666666)
http://www.wikidata.org/entity/Q1328417,Gunung Rokatenda,875,264150,,Point(121.708333333 -8.316666666)
http://www.wikidata.org/entity/Q1373835,Gunung Patuha,2434,263070,,Point(107.4 -7.160277777)
http://www.wikidata.org/entity/Q1467910,Gunung Gamalama,1715,268060,,Point(127.333888888 0.807222222)
http://www.wikidata.org/entity/Q1677690,Gunung Sumbing,3371,263220,,Point(110.0725 -7.385)
http://www.wikidata.org/entity/Q1738211,Gunung Kelimutu,1639,264140,,Point(121.82 -8.77)
http://www.wikidata.org/entity/Q1847015,"Pulau Manuk, Maluku",282,265080,,Point(130.3054 -5.5439)
http://www.wikidata.org/entity/Q1899342,Gunungapi Wetar,282,265030,,Point(126.65 -6.641666666)
http://www.wikidata.org/entity/Q1911044,Gunung Lewotolo,1423,264230,,Point(123.505 -8.272)
http://www.wikidata.org/entity/Q1960702,Gunung Marapi,2891,261140,,Point(100.473333333 -0.380555555)
http://www.wikidata.org/entity/Q2025875,Wurlali,868,265040,,Point(128.675 -7.125)
http://www.wikidata.org/entity/Q2033748,Gunung Raung,3260,263340,,Point(114.041666666c)
http://www.wikidata.org/entity/Q2105492,Gunung Sukaria,1500,264120,,Point(121.77 -8.792)
http://www.wikidata.org/entity/Q2171115,Gunung Penanggungan,1653,263291,,Point(112.63 -7.62)
http://www.wikidata.org/entity/Q2190351,Mount Teon,655,265050,,Point(129.125 -6.92)
http://www.wikidata.org/entity/Q2205302,Anak Krakatau,110,262000,,Point(105.423055555 -6.101944444)
http://www.wikidata.org/entity/Q2236900,Gunung Iya,637,264110,,Point(121.645 -8.897)
http://www.wikidata.org/entity/Q2302908,Gunung Sibayak,2212,261070,,Point(98.505555555 3.239166666)
http://www.wikidata.org/entity/Q2340739,Gunung Dukono,1335,268010,,Point(127.878105 1.699505)
http://www.wikidata.org/entity/Q2344869,Gunung Karang,1778,263020,,Point(106.05 -6.269166666)
http://www.wikidata.org/entity/Q2364075,Gunung Iliboleng,1659,264220,,Point(123.252 -8.344)
http://www.wikidata.org/entity/Q2381562,Riang Kotang,200,264800,,Point(122.892 -8.3)
http://www.wikidata.org/entity/Q2396057,Gunung Leroboleng,1095,264200,,Point(122.842 -8.358)
http://www.wikidata.org/entity/Q2432393,Gunung Nila,781,265060,,Point(129.5 -6.73)
http://www.wikidata.org/entity/Q2433163,Wai Sano,903,264060,,Point(120.0166667 -8.71666667)
http://www.wikidata.org/entity/Q2483640,Gunung Iliwerung,1018,264250,,Point(123.573333333 -8.532222222)
http://www.wikidata.org/entity/Q2573469,Gunung Ibu,1325,268030,,Point(127.633333333 1.483333333)
http://www.wikidata.org/entity/Q2573663,Sangeang Api,1949,264050,,Point(119.05 -8.18)
http://www.wikidata.org/entity/Q2580533,Gunung Kunyit,2151,261171,,Point(101.4828 -2.275)
http://www.wikidata.org/entity/Q2597888,Gunung Ilimuda,1100,264170,,Point(122.671 -8.478)
http://www.wikidata.org/entity/Q2729991,Gunung Lewotobi,1703,264180,,Point(122.766666666 -8.533333333)
