,Tipe,gunungapi,Latitude (LU),Longitude (BT),Regional,Unnamed: 0,item,gunung,tinggi,vsi,regionalLabel,koordinat
82,B,Kunyit,-2.278645217,101.4826074,Sumatera,,,,,,,
83,B,Belirang Beriti,-2.826828627,102.1644616,Sumatera,,,,,,,
84,B,Bukit Daun,-3.38335492,102.3728869,Sumatera,,,,,,,
85,B,Lumut Balai,-4.223597657,103.6231924,Sumatera,,,,,,,
86,B,Sekincau Belirang,-5.099013337,104.3450091,Sumatera,,,,,,,
87,B,Rajabasa,-5.780916762,105.6315893,Sumatera,,,,,,,
88,B,Pulosari,-6.33953778,105.9750272,Jawa,,,,,,,
89,B,Karang,-6.268606232,106.0497187,Jawa,,,,,,,
90,B,Patuha,-7.16637657,107.4021262,Jawa,,,,,,,
91,B,Wayang Windu,-7.206973055,107.6377119,Jawa,,,,,,,
92,B,Talaga Bodas,-7.210962849,108.0652008,Jawa,,,,,,,
93,B,Ungaran,-7.202709431,110.3393574,Jawa,,,,,,,
94,B,Merbabu,-7.447476244,110.4386812,Jawa,,,,,,,
95,B,Lawu,-7.637606941,111.1902459,Jawa,,,,,,,
96,B,Wilis,-7.790262659,111.6325957,Jawa,,,,,,,
97,B,Iyang Argopuro,-7.964977957,113.5730332,Jawa,,,,,,,
98,B,Ilimuda,-8.476914857,122.7614361,Bali - Nusa Tenggara,,,,,,,
99,B,Ili labalekan,-8.541949376,123.3818055,Bali - Nusa Tenggara,,,,,,,
100,B,Yersey (BL),-7.651986444,123.669043,Maluku,,,,,,,
101,B,Emperor of China (BL),-6.804395241,124.5404903,Maluku,,,,,,,
102,B,Manuk,-5.54294653,130.3038775,Maluku,,,,,,,
103,B,Todoko,1.262777296,127.4822551,Maluku,,,,,,,
104,B,Sempu,1.135419788,124.7514596,Sulawesi,,,,,,,
105,B,Klabat,1.453408748,125.0301038,Sulawesi,,,,,,,
106,C,Jaboi,5.803434596,95.32402286,Sumatera,,,,,,,
107,C,Gayo Lesten/Kembar,3.857109997,97.66369043,Sumatera,,,,,,,
108,C,Helatoba,2.074526068,98.94517421,Sumatera,,,,,,,
109,C,Marga Bayur/Besar,-4.432690072,103.6856043,Sumatera,,,,,,,
110,C,Pematang Bata/Suwoh,-5.230591853,104.2616571,Sumatera,,,,,,,
111,C,Ulubelu,-5.335496236,104.5905884,Sumatera,,,,,,,
112,C,Kiaraberes Gagak,-6.730199667,106.6495391,Jawa,,,,,,,
113,C,Perbakti,-6.757176832,106.6865177,Jawa,,,,,,,
114,C,Kawah Kamojang,-7.137979853,107.8007273,Jawa,,,,,,,
115,C,Kawah Manuk,-7.227575343,107.7315307,Jawa,,,,,,,
116,C,Kawah Karaha,-7.124445709,108.076667,Jawa,,,,,,,
117,C,Waesano,-8.710685171,119.9887172,Bali - Nusa Tenggara,,,,,,,
118,C,Poco Leok,-8.7237,120.439562,Bali - Nusa Tenggara,,,,,,,
119,C,Kaldera Sokoria,-8.783466506,121.764812,Bali - Nusa Tenggara,,,,,,,
120,C,Ndetu Napi,-8.711673409,121.8080373,Bali - Nusa Tenggara,,,,,,,
121,C,Riang Kotang,-8.284211904,122.9114926,Bali - Nusa Tenggara,,,,,,,
122,C,Batu kolok,1.161703006,124.7640011,Sulawesi,,,,,,,
123,C,Tempang,1.17154662,124.8435946,Sulawesi,,,,,,,
124,C,Tampusu,1.265878591,124.8521638,Sulawesi,,,,,,,
125,C,Lahendong,1.275055504,124.8292481,Sulawesi,,,,,,,
126,C,Sarongsong,1.283967696,124.821566,Sulawesi,,,,,,,
0,,,,,,0.0,http://www.wikidata.org/entity/Q40981,Geureudong,2885.0,261050.0,,Point(96.816666666 4.813055555)
6,,,,,,6.0,http://www.wikidata.org/entity/Q571805,Baluran,1247.0,263351.0,,Point(114.362222222 -7.846388888)
7,,,,,,7.0,http://www.wikidata.org/entity/Q2003801,Bratan,2276.0,264001.0,,Point(115.133333333 -8.283333333)
8,,,,,,8.0,http://www.wikidata.org/entity/Q2020545,Tampomas,1684.0,263131.0,,Point(107.95 -6.77)
9,,,,,,9.0,http://www.wikidata.org/entity/Q12506955,Pulau Tidore,408.0,268061.0,,Point(127.41141 0.68874)
13,,,,,,13.0,http://www.wikidata.org/entity/Q856301,Bukit Bibinoi,900.0,268073.0,,Point(127.716666666 -0.766666666)
16,,,,,,16.0,http://www.wikidata.org/entity/Q507179,Ceremai,3078.0,263170.0,,Point(108.4 -6.891944444)
17,,,,,,17.0,http://www.wikidata.org/entity/Q665399,Arjuno,3339.0,263290.0,,Point(112.589722222 -7.765)
18,,,,,,18.0,http://www.wikidata.org/entity/Q829440,Mount Besar,1899.0,261250.0,,Point(103.666666666 -4.433333333)
19,,,,,,19.0,http://www.wikidata.org/entity/Q1972311,Dieng Volcanic Complex,2565.0,263200.0,,Point(109.92 -7.2)
20,,,,,,20.0,http://www.wikidata.org/entity/Q2038462,Sindara,3136.0,263210.0,,Point(109.996666666 -7.301111111)
23,,,,,,23.0,http://www.wikidata.org/entity/Q2352524,Ine Lika,1559.0,264090.0,,Point(120.98 -8.73)
24,,,,,,24.0,http://www.wikidata.org/entity/Q2549314,Iyang-Argapura,3088.0,263330.0,,Point(113.57 -7.97)
25,,,,,,25.0,http://www.wikidata.org/entity/Q8523823,Hulubelu,1040.0,261280.0,,Point(104.6 -5.35)
30,,,,,,30.0,http://www.wikidata.org/entity/Q1087336,Lubukraya,1862.0,261111.0,,Point(99.209 1.478)
34,,,,,,34.0,http://www.wikidata.org/entity/Q2181214,Kamojang,1730.0,263805.0,,Point(107.8 -7.125)
35,,,,,,35.0,http://www.wikidata.org/entity/Q2786660,Dataran Malang,680.0,263292.0,,Point(112.68 -8.02)
36,,,,,,36.0,http://www.wikidata.org/entity/Q2933735,Tondano,1202.0,266070.0,,Point(124.83 1.23)
37,,,,,,37.0,http://www.wikidata.org/entity/Q123157,Telomoyo,1894.0,263231.0,,Point(110.4 -7.37)
38,,,,,,38.0,http://www.wikidata.org/entity/Q383862,Lurus,539.0,263321.0,,Point(113.580277777 -7.739166666)
39,,,,,,39.0,http://www.wikidata.org/entity/Q455404,Bukit Amasing,1030.0,268072.0,,Point(127.498055555 -0.532222222)
40,,,,,,40.0,http://www.wikidata.org/entity/Q806237,Api Banda,362.0,265090.0,,Point(129.871388888 -4.525)
41,,,,,,41.0,http://www.wikidata.org/entity/Q4175476,Ililabalekan,1018.0,264240.0,,Point(123.38 -8.55)
42,,,,,,42.0,http://www.wikidata.org/entity/Q4180889,Jailolo,1130.0,268051.0,,Point(127.42 1.08)
43,,,,,,43.0,http://www.wikidata.org/entity/Q4986919,Bukit Lumut Balai,2055.0,261240.0,,Point(103.62 -4.22)
44,,,,,,44.0,http://www.wikidata.org/entity/Q6924047,Tarakan,318.0,268001.0,,Point(127.83 1.83)
45,,,,,,45.0,http://www.wikidata.org/entity/Q7811550,Tobaru,1035.0,268020.0,,Point(127.67 1.63)
46,,,,,,46.0,http://www.wikidata.org/entity/Q8523728,Imun,1505.0,261101.0,,Point(98.93 2.158)
47,,,,,,47.0,http://www.wikidata.org/entity/Q11737565,Kawi-Butak,2868.0,263281.0,,Point(112.45 -7.92)
48,,,,,,48.0,http://www.wikidata.org/entity/Q12773636,Perbakti-Gagak,1699.0,263040.0,,Point(106.7 -6.75)
53,,,,,,53.0,http://www.wikidata.org/entity/Q82613,Krakatau,813.0,262000.0,,Point(105.423 -6.102)
54,,,,,,54.0,http://www.wikidata.org/entity/Q126717,Telaga Bodas,2201.0,263150.0,,Point(108.07 -7.208)
59,,,,,,59.0,http://www.wikidata.org/entity/Q183360,Danau Toba,900.0,261090.0,,Point(98.887222222 2.679722222)
63,,,,,,63.0,http://www.wikidata.org/entity/Q537391,Kembar,2245.0,261810.0,,Point(97.664 3.85)
68,,,,,,68.0,http://www.wikidata.org/entity/Q670643,Malabar,2343.0,263081.0,,Point(107.65 -7.13)
69,,,,,,69.0,http://www.wikidata.org/entity/Q675072,Kendang,2608.0,263110.0,,Point(107.72 -7.23)
70,,,,,,70.0,http://www.wikidata.org/entity/Q807010,Banua Wuhu,-5.0,267030.0,,Point(125.490555555 3.137777777)
72,,,,,,72.0,http://www.wikidata.org/entity/Q815632,Belirang-Beriti,1958.0,261200.0,,Point(102.183333333 -2.816666666)
73,,,,,,73.0,http://www.wikidata.org/entity/Q847323,Rinjani,3726.0,264030.0,,Point(116.466666666 -8.416666666)
76,,,,,,76.0,http://www.wikidata.org/entity/Q1048813,Weh,617.0,261800.0,,Point(95.28 5.82)
79,,,,,,79.0,http://www.wikidata.org/entity/Q1087355,Sibualbuali,1819.0,261110.0,,Point(99.255 1.556)
82,,,,,,82.0,http://www.wikidata.org/entity/Q1190569,Tangkuban Perahu,2084.0,263090.0,,Point(107.6 -6.77)
89,,,,,,89.0,http://www.wikidata.org/entity/Q1847015,"Pulau Manuk, Maluku",282.0,265080.0,,Point(130.3054 -5.5439)
90,,,,,,90.0,http://www.wikidata.org/entity/Q1899342,api Wetar,282.0,265030.0,,Point(126.65 -6.641666666)
91,,,,,,91.0,http://www.wikidata.org/entity/Q1911044,Lewotolo,1423.0,264230.0,,Point(123.505 -8.272)
95,,,,,,95.0,http://www.wikidata.org/entity/Q2105492,Sukaria,1500.0,264120.0,,Point(121.77 -8.792)
96,,,,,,96.0,http://www.wikidata.org/entity/Q2171115,Penanggungan,1653.0,263291.0,,Point(112.63 -7.62)
97,,,,,,97.0,http://www.wikidata.org/entity/Q2190351,Mount Teon,655.0,265050.0,,Point(129.125 -6.92)
103,,,,,,103.0,http://www.wikidata.org/entity/Q2364075,Iliboleng,1659.0,264220.0,,Point(123.252 -8.344)
105,,,,,,105.0,http://www.wikidata.org/entity/Q2396057,Leroboleng,1095.0,264200.0,,Point(122.842 -8.358)
107,,,,,,107.0,http://www.wikidata.org/entity/Q2433163,Wai Sano,903.0,264060.0,,Point(120.0166667 -8.71666667)
108,,,,,,108.0,http://www.wikidata.org/entity/Q2483640,Iliwerung,1018.0,264250.0,,Point(123.573333333 -8.532222222)
110,,,,,,110.0,http://www.wikidata.org/entity/Q2573663,Sangeang Api,1949.0,264050.0,,Point(119.05 -8.18)
113,,,,,,113.0,http://www.wikidata.org/entity/Q2729991,Lewotobi,1703.0,264180.0,,Point(122.766666666 -8.533333333)
117,,,,,,117.0,http://www.wikidata.org/entity/Q2854575,Wayang,2182.0,263080.0,,Point(107.63 -7.208)
118,,,,,,118.0,http://www.wikidata.org/entity/Q2901375,Poco Ranaka,2350.0,264071.0,,Point(120.516666666 -8.633333333)
120,,,,,,120.0,http://www.wikidata.org/entity/Q3114099,Danau Ranau,540.0,261251.0,,Point(103.930555555 -4.8625)
122,,,,,,122.0,http://www.wikidata.org/entity/Q3217435,Muria,1625.0,263251.0,,Point(110.88333333 -6.61666667)
124,,,,,,124.0,http://www.wikidata.org/entity/Q3238267,Pulau Moti,950.0,268063.0,,Point(127.4 0.45)
125,,,,,,125.0,http://www.wikidata.org/entity/Q3492253,Patah,2817.0,261231.0,,Point(103.3 -4.27)
127,,,,,,127.0,http://www.wikidata.org/entity/Q4175400,Hiri,630.0,268052.0,,Point(127.32 0.88)
128,,,,,,128.0,http://www.wikidata.org/entity/Q4176217,Hutapanjang,2021.0,261172.0,,Point(101.6 -2.33)
129,,,,,,129.0,http://www.wikidata.org/entity/Q4176628,Pulau Mare,308.0,268062.0,,Point(127.4 0.57)
130,,,,,,130.0,http://www.wikidata.org/entity/Q4178015,Tigalalu,422.0,268071.0,,Point(127.42 0.07)
131,,,,,,131.0,http://www.wikidata.org/entity/Q4178018,Suoh,1000.0,261270.0,,Point(104.27 -5.25)
132,,,,,,132.0,http://www.wikidata.org/entity/Q4180786,Sekincau,1719.0,261260.0,,Point(104.32 -5.12)
