,item,gunung,tinggi,tipe,regional,vsi,lattitude,longitude,koordinat
106,http://www.wikidata.org/entity/Q2432393,Nila,781,A,Maluku,267020,-6.750945934,129.5167356,Point(125.4075 2.777777777)
28,http://www.wikidata.org/entity/Q1073134,Papandayan,2665,A,Jawa,265070,-7.316928827,107.7316372,Point(130.0 -6.3)
,,Peut Sague,2801,A,Sumatera,,4.902609074,96.28886262,
94,http://www.wikidata.org/entity/Q2033748,Raung,3260,A,Jawa,264230,-8.120162504,114.0560329,Point(123.505 -8.272)
73,http://www.wikidata.org/entity/Q847323,Rinjani,3726,A,Bali-Nusa Tenggara,265040,-8.411110523,116.4231587,Point(128.675 -7.125)
84,http://www.wikidata.org/entity/Q1328417,Rokatenda,875,A,Bali-Nusa Tenggara,263340,2.30390855,125.367031,Point(114.041666666 -8.125)
,,Ruang,725,A,Sulawesi,,-6.718083923,106.7133289,
67,http://www.wikidata.org/entity/Q669559,Salak,2211,A,Jawa,264120,-6.718083923,106.7133289,Point(121.77 -8.792)
110,http://www.wikidata.org/entity/Q2573663,Sangeang Api,1949,A,Bali-Nusa Tenggara,263291,-8.197824981,119.0693541,Point(112.63 -7.62)
,,Sangir(BL),0,A,Sulawesi,,3.618099004,124.5998176,
61,http://www.wikidata.org/entity/Q270158,Semeru,3676,A,Jawa,262000,-8.112845362,112.9247627,Point(105.423055555 -6.101944444)
78,http://www.wikidata.org/entity/Q1083948,Serua,641,A,Maluku,261070,-6.312678607,130.0165886,Point(98.505555555 3.239166666)
15,http://www.wikidata.org/entity/Q29595,Seulawah Agam,1810,A,Sumatera,268010,5.447027994,95.65666358,Point(127.878105 1.699505)
60,http://www.wikidata.org/entity/Q207678,Sinabung,2460,A,Sumatera,264800,3.169904788,98.39104079,Point(122.892 -8.3)
83,http://www.wikidata.org/entity/Q1322666,Sirung,862,A,Bali-Nusa Tenggara,265060,-8.498083986,124.1310892,Point(129.5 -6.73)
26,http://www.wikidata.org/entity/Q580131,Slamet,3428,A,Jawa,264060,-7.241794426,109.2149242,Point(120.0166667 -8.71666667)
2,http://www.wikidata.org/entity/Q781529,Soputan,1952,A,Sulawesi,264250,1.11450903,124.73779,Point(123.573333333 -8.532222222)
49,http://www.wikidata.org/entity/Q29559,Sorik Marapi,2145,A,Sumatera,268030,0.685780837,99.53632632,Point(127.633333333 1.483333333)
87,http://www.wikidata.org/entity/Q1677690,Sumbing,3371,A,Jawa,264170,-7.38332572,110.0736235,Point(122.671 -8.478)
14,http://www.wikidata.org/entity/Q2155367,Talang,2597,A,Sumatera,261130,-0.980094317,100.6804559,Point(99.983333333 0.079166666)
58,http://www.wikidata.org/entity/Q168714,Tambora,2850,A,Bali-Nusa Tenggara,263230,-8.246972746,117.9932045,Point(110.33 -7.18)
50,http://www.wikidata.org/entity/Q40692,Tandikat,2438,A,Sumatera,264071,-0.431490023,100.3193004,Point(120.516666666 -8.633333333)
121,http://www.wikidata.org/entity/Q3120328,Tangkoko,1149,A,Sulawesi,266110,1.514796316,125.1853563,Point(124.858 1.358)
